"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 07 18:38:47 CET 2023","Thu Dec 07 18:38:48 CET 2023","799","","InvoicesSpec","","API.test.Account.InvoicesSpec","should retrieve all invoices where logged as admin","should retrieve all invoices where logged as admin","Test Description: should retrieve all invoices where logged as admin"
"failed","Thu Dec 07 18:38:45 CET 2023","Thu Dec 07 18:38:45 CET 2023","238","","FavouritesSpec","","API.test.Account.FavouritesSpec","should retrieve favourites","should retrieve favourites","Test Description: should retrieve favourites"
"broken","Thu Dec 07 18:38:17 CET 2023","Thu Dec 07 18:38:18 CET 2023","1384","","ContactSpec","","API.test.Contact.ContactSpec","should retrieve message by proper id","should retrieve message by proper id","Test Description: should retrieve message by proper id "
"passed","Thu Dec 07 18:37:15 CET 2023","Thu Dec 07 18:37:25 CET 2023","10595","UiUtils","UserLoginPanelSpec","","UI.test.UserLoginPanelSpec","T3 - should register new user correctly","T3 - should register new user correctly","Test Description: should register new user correctly"
"passed","Thu Dec 07 18:38:46 CET 2023","Thu Dec 07 18:38:46 CET 2023","551","","InvoicesSpec","","API.test.Account.InvoicesSpec","should not retrieve invoices where user not logged in","should not retrieve invoices where user not logged in","Test Description: should retrieve only related invoices where logged as user"
"passed","Thu Dec 07 18:36:17 CET 2023","Thu Dec 07 18:36:27 CET 2023","10117","UiUtils","CartSpec","","UI.test.CartSpec","A2 - should remove item from cart","A2 - should remove item from cart","Test Description: should remove item from cart"
"passed","Thu Dec 07 18:38:15 CET 2023","Thu Dec 07 18:38:16 CET 2023","688","","ContactSpec","","API.test.Contact.ContactSpec","should retrieve messages where logged as admin","should retrieve messages where logged as admin","Test Description: should retrieve messages where logged as admin"
"passed","Thu Dec 07 18:38:16 CET 2023","Thu Dec 07 18:38:16 CET 2023","273","","ContactSpec","","API.test.Contact.ContactSpec","should send new message","should send new message","Test Description: should send new message"
"passed","Thu Dec 07 18:38:23 CET 2023","Thu Dec 07 18:38:23 CET 2023","226","","BrandSpec","","API.test.Details.BrandSpec","should not get brand by non existing ID ","should not get brand by non existing ID ","Test Description: should not get brand by non existing ID "
"passed","Thu Dec 07 18:38:22 CET 2023","Thu Dec 07 18:38:22 CET 2023","218","","BrandSpec","","API.test.Details.BrandSpec","should retrieve all brands ","should retrieve all brands ","Test Description: should retrieve all brands "
"passed","Thu Dec 07 18:38:24 CET 2023","Thu Dec 07 18:38:25 CET 2023","879","","BrandSpec","","API.test.Details.BrandSpec","should delete brand with selected and existing id while not logged in ","should delete brand with selected and existing id while not logged in ","Test Description: should delete brand with selected and existing id while not logged in"
"passed","Thu Dec 07 18:38:39 CET 2023","Thu Dec 07 18:38:40 CET 2023","1301","","UserSpec","","API.test.User.UserSpec","should update user information","should update user information","Test Description: should update user information"
"passed","Thu Dec 07 18:36:08 CET 2023","Thu Dec 07 18:36:17 CET 2023","8800","UiUtils","CartSpec","","UI.test.CartSpec"," A1 - should add product to cart"," A1 - should add product to cart","Test Description: should add product to cart"
"passed","Thu Dec 07 18:38:40 CET 2023","Thu Dec 07 18:38:41 CET 2023","755","","ReportSpec","","API.test.Report.ReportSpec","should return report about total sales per country","should return report about total sales per country","Test Description: should return report about total sales per country"
"failed","Thu Dec 07 18:38:29 CET 2023","Thu Dec 07 18:38:30 CET 2023","491","","CategoriesSpec","","API.test.Details.CategoriesSpec","should not delete category with selected and existing id while logged in as normal user ","should not delete category with selected and existing id while logged in as normal user ","Test Description: should not delete category with selected and existing id while logged in as normal user"
"passed","Thu Dec 07 18:38:20 CET 2023","Thu Dec 07 18:38:21 CET 2023","1016","","ContactSpec","","API.test.Contact.ContactSpec","should set message status as admin ","should set message status as admin ","Test Description: should set message status as admin "
"passed","Thu Dec 07 18:38:22 CET 2023","Thu Dec 07 18:38:23 CET 2023","553","","BrandSpec","","API.test.Details.BrandSpec","should get brand by existing ID ","should get brand by existing ID ","Test Description: should get brand by existing ID  "
"passed","Thu Dec 07 18:36:59 CET 2023","Thu Dec 07 18:37:08 CET 2023","8139","UiUtils","UserLoginPanelSpec","","UI.test.UserLoginPanelSpec","T1 - should not be able to register new user when user with such email is already registered","T1 - should not be able to register new user when user with such email is already registered","Test Description: should not be able to register new user when user with such email is already registered"
"passed","Thu Dec 07 18:38:36 CET 2023","Thu Dec 07 18:38:37 CET 2023","1208","","UserSpec","","API.test.User.UserSpec","should delete correctly user","should delete correctly user","Test Description: should delete correctly user"
"passed","Thu Dec 07 18:38:32 CET 2023","Thu Dec 07 18:38:32 CET 2023","390","","UserSpec","","API.test.User.UserSpec","should provide user token for customer2@practicesoftwaretesting.com","should provide user token for customer2@practicesoftwaretesting.com","Test Description: should provide user token"
"passed","Thu Dec 07 18:38:44 CET 2023","Thu Dec 07 18:38:45 CET 2023","654","","ReportSpec","","API.test.Report.ReportSpec","should return report about customers by country","should return report about customers by country","Test Description: should return report about customers by country"
"passed","Thu Dec 07 18:37:52 CET 2023","Thu Dec 07 18:38:05 CET 2023","12649","UiUtils","ProductSpec","","UI.test.ProductSpec","C2 - should remove product from favorites","C2 - should remove product from favorites","Test Description: should fill form and send it"
"passed","Thu Dec 07 18:38:45 CET 2023","Thu Dec 07 18:38:46 CET 2023","726","","FavouritesSpec","","API.test.Account.FavouritesSpec","should not retrieve favourites where user not logged in ","should not retrieve favourites where user not logged in ","Test Description: should not retrieve favourites because of no credentials"
"passed","Thu Dec 07 18:38:34 CET 2023","Thu Dec 07 18:38:34 CET 2023","699","","UserSpec","","API.test.User.UserSpec","should return information about user with email admin@practicesoftwaretesting.com","should return information about user with email admin@practicesoftwaretesting.com","Test Description: should return information about user with email"
"passed","Thu Dec 07 18:38:41 CET 2023","Thu Dec 07 18:38:42 CET 2023","784","","ReportSpec","","API.test.Report.ReportSpec","should return report about top 10 best selling categories","should return report about top 10 best selling categories","Test Description: should return report about top 10 best selling categories"
"failed","Thu Dec 07 18:38:34 CET 2023","Thu Dec 07 18:38:35 CET 2023","257","","UserSpec","","API.test.User.UserSpec","should return information about user with email customer@practicesoftwaretesting.com","should return information about user with email customer@practicesoftwaretesting.com","Test Description: should return information about user with email"
"passed","Thu Dec 07 18:37:40 CET 2023","Thu Dec 07 18:37:52 CET 2023","12440","UiUtils","ProductSpec","","UI.test.ProductSpec","C1 - should add random product to favorites","C1 - should add random product to favorites","Test Description: should fill form and send it"
"passed","Thu Dec 07 18:38:21 CET 2023","Thu Dec 07 18:38:21 CET 2023","229","","CartSpec","","API.test.Products.CartSpec","should create cart ","should create cart ",""
